Insufficient_Weight,Normal_Weight,Obesity_Type_I,Obesity_Type_II,Obesity_Type_III,Overweight_Level_I,Overweight_Level_II
0.00025325916431029327,0.0005184656474739313,0.010543602867983282,0.0006252705352380872,0.0001932222985487897,0.009805215639062226,0.9780609607696533
0.00856845616362989,0.9846842139959335,0.0006929694645805284,0.0001687088679318549,0.00016620114911347628,0.00344520719954744,0.002274238911923021
0.9770634174346924,0.001808044034987688,0.0020411190344020724,0.0004245504314894788,0.0002708779320528265,0.017205590847879648,0.0011863717518281192
5.1810436161758844e-05,8.556127522751922e-05,0.0005168284042156301,0.0004066009569214657,0.998749628663063,7.038036164885852e-05,0.00011920840552193113
0.0020666929776780307,0.0035108610754832625,0.048270228784531355,0.03004627814516425,0.0009722104296088219,0.017658363794907928,0.897475391626358
0.9967609196901321,0.0019119823991786689,0.00020517770826700144,0.00011437862121965736,5.503072043211432e-05,0.0007740062137600034,0.00017851796292234212
0.00041580607648938894,0.0004699699638877064,0.02052947203628719,0.9765268713235855,0.0005759986524935812,0.0005281903650029562,0.0009536661382298917
0.00014698630366183352,0.0001698482683423208,0.007172607118263841,0.9918621182441711,0.00013784438124275766,0.00018186615488957614,0.00032873093732632697
0.0022221896215341985,0.6148975118994713,0.003101635491475463,0.001028492144541815,0.0007045342354103923,0.36757756024599075,0.010468066204339266
4.9407154619984794e-05,4.1340446387039265e-05,0.00037125463859410957,0.00018501925296732225,0.9992275983095169,5.658898771798704e-05,6.880108321638545e-05
0.0012020084104733542,0.8442377299070358,0.00191115026245825,0.00039158880099421367,0.002875025966204703,0.14282952435314655,0.006552962819114327
0.0018681074143387377,0.9391889423131943,0.0027801552205346525,0.0006773765489924699,0.00043340139382053167,0.032609385438263416,0.02244260930456221
0.00019732557848328725,0.00019439457173575647,0.996688574552536,0.0013105942052789032,0.0002029438182944432,0.00039340914372587577,0.001012742635793984
9.38189677981427e-05,9.156860323855653e-05,0.0008243970369221643,0.0005179603103897534,0.9981311708688736,0.00011396433365007397,0.00022711601195624098
0.12182150781154633,0.8662598431110382,0.002858763502445072,0.000990446555078961,0.00059383124607848,0.005521224462427199,0.0019543976814020425
0.0005069217004347593,0.0004482752628973685,0.007204621098935604,0.9862301796674728,0.00041310601227451116,0.000582252505409997,0.00461466726846993
0.0002958825607493054,0.0030134732369333506,0.006346087087877095,0.00027059129570261575,0.0007707379627390765,0.01739237387664616,0.9719108641147614
0.07512197736650705,0.9152278304100037,0.0008952072967076674,0.0003894674518960528,0.0028237399528734386,0.004868597665335983,0.0006731842295266688
0.0010288501653121784,0.0067819294054061174,0.01597185176797211,0.0008003074326552451,0.0004182372576906346,0.033440996427088976,0.9415577799081802
0.00012037560190947261,0.0001516094580438221,0.003829584165941924,0.9951603263616562,0.00022900682597537525,0.00016469689035147894,0.0003444304566073697
0.0008464749989798293,0.005789519287645817,0.15123333223164082,0.0016510779969394207,0.0006064196568331681,0.09102674014866352,0.7488464117050171
0.0011898260418092832,0.9389820247888565,0.0018533505499362946,0.0004043866938445717,0.0003681645466713235,0.05147553700953722,0.005726718809455633
0.00011651251406874508,0.00012058668471581768,0.0009631220455048606,0.0004272406076779589,0.9980450570583344,0.0001335983833996579,0.00019387470456422307
0.0009051851229742169,0.0026668764767237008,0.8955095857381821,0.004583043453749269,0.0009118706511799246,0.01811296585947275,0.07731045596301556
0.995294988155365,0.001297442417126149,0.0005715258594136685,0.00023186188627732918,0.00010385615496488754,0.0020736377919092774,0.0004266988908057101
